seller_id,seller_fname,seller_lname,seller_dob,seller_age,seller_email,seller_gender,seller_zip_code_prefix,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,Romona,Daveta,1/1/65,60,Romona.Daveta@gmail.com,Male,13023,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,Marguerite,Annabella,2/12/45,69,Marguerite.Annabella@gmail.com,Male,13844,mogi guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,Karlee,Mich,1/30/81,53,Karlee.Mich@gmail.com,Female,20031,rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,Katuscha,Infield,12/24/68,45,Katuscha.Infield@gmail.com,Female,4195,sao paulo,SP
51a04a8a6bdcb23deccc82b0b80742cf,Jerry,Arvo,5/27/60,39,Jerry.Arvo@gmail.com,Male,12914,braganca paulista,SP
c240c4061717ac1806ae6ee72be3533b,Lynnea,Miru,4/5/66,50,Lynnea.Miru@gmail.com,Male,20920,rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,Cristabel,Simmonds,9/12/69,52,Cristabel.Simmonds@gmail.com,Female,55325,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,Leontine,Percy,12/4/78,53,Leontine.Percy@gmail.com,Male,16304,penapolis,SP
768a86e36ad6aae3d03ee3c6433d61df,Ezmeralda,Lesley,4/15/70,66,Ezmeralda.Lesley@gmail.com,Female,1529,sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,Sybille,Gale,11/18/60,30,Sybille.Gale@gmail.com,Female,80310,curitiba,PR
8cb7c5ddf41f4d506eba76e9a4702a25,Xylina,Anastatius,12/12/67,100,Xylina.Anastatius@gmail.com,Male,75110,anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,Emylee,Suk,8/6/73,35,Emylee.Suk@gmail.com,Male,13530,itirapina,SP
8bd0f31cf0a614c658f6763bd02dea69,Paule,Hoenack,10/18/82,99,Paule.Hoenack@gmail.com,Female,1222,sao paulo,SP
05a48cc8859962767935ab9087417fbb,Beth,Parette,9/14/70,27,Beth.Parette@gmail.com,Male,5372,sao paulo,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,Agathe,Berard,5/3/45,66,Agathe.Berard@gmail.com,Male,88705,tubarao,SC
1444c08e64d55fb3c25f0f09c07ffcf2,Stephanie,Swanhildas,2/2/61,77,Stephanie.Swanhildas@gmail.com,Female,42738,lauro de freitas,BA
166e8f1381e09651983c38b1f6f91c11,Aubrie,Harl,10/10/45,37,Aubrie.Harl@gmail.com,Male,88780,imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,Cassondra,Artie,6/28/58,88,Cassondra.Artie@gmail.com,Male,70740,brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,Mireielle,Lytton,11/21/46,78,Mireielle.Lytton@gmail.com,Female,45810,porto seguro,BA
f9ec7093df3a7b346b7bcf7864069ca3,Georgina,Letsou,7/20/51,80,Georgina.Letsou@gmail.com,Male,5138,sao paulo,SP
4e6015589b781adaa5ce7f1892d06bb1,Maryellen,Germann,8/20/95,64,Maryellen.Germann@gmail.com,Female,11440,guaruja,SP
4cf490a58259286ada5ba8525ba9e84a,Tabbatha,Cohdwell,4/9/68,20,Tabbatha.Cohdwell@gmail.com,Male,14910,tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,Merle,McClimans,2/9/54,86,Merle.McClimans@gmail.com,Male,4156,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,Elena,Euridice,4/10/93,71,Elena.Euridice@gmail.com,Female,13320,salto,SP
8bd0e3abda539b9479c4b44a691be1ec,Lacie,Fosque,9/6/86,57,Lacie.Fosque@gmail.com,Female,98910,tres de maio,RS
2a1348e9addc1af5aaa619b1a3679d6b,Siana,Japeth,3/12/86,51,Siana.Japeth@gmail.com,Female,30494,belo horizonte,MG
2078fe5066350e7d220c0ad3a3bbc6c1,Kellen,Lail,7/21/96,38,Kellen.Lail@gmail.com,Male,86707,arapongas,PR
116ccb1a1604bc88e4d234a8c23f33de,Mallory,Berard,5/22/57,88,Mallory.Berard@gmail.com,Female,9850,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,Jeanna,Faso,12/5/99,78,Jeanna.Faso@gmail.com,Male,4857,sao paulo,SP
406822777a0b9eb5c50e442dd4cd3ec5,Charlena,Ulphia,2/10/54,86,Charlena.Ulphia@gmail.com,Male,18500,tatui,SP
